annotators,image file,Human nGaussians,Human median (number),Human median (draw),Ground Truth nGaussians,Ground Truth Median,Ground Truth nBars,LLM Median,LLM Median Mini,LLM nGaussians (int),LLM nGaussians (int) Mini
annotator1,id_0041.jpeg,1,0.055,0.0552691303305996,1,0.0544278544352981,50,0.055,0.05,1,1
annotator1,id_0014.jpeg,3,0.45,0.4574720348116822,1,0.4788105173343701,50,0.49,0.485,1,1
annotator1,id_0028.jpeg,2,-0.42,-0.4158628900153125,2,-0.4173022022375116,45,-0.43,-0.42,1,1
annotator1,id_0057.jpeg,2,-0.7,-0.7072832902742185,2,-0.758364185226362,50,-0.6,-0.6,2,2
annotator1,id_0020.jpeg,1,-0.2,-0.1714275362659401,1,-0.1780068550332232,50,0.0,-0.06,1,1
annotator1,id_0023.jpeg,2,0.8,0.8020354951857875,2,0.8020903968710063,60,0.8,0.8,2,2
annotator1,id_0013.jpeg,1,-0.15,-0.0853783269999347,2,-0.0979157386788274,60,-0.05,-0.12,1,2
annotator1,id_0074.jpeg,2,-0.4,-0.428921746191538,2,-0.3761659351624006,45,-0.375,-0.375,2,2
annotator1,id_0017.jpeg,1,0.74,0.738278676607269,2,0.7408461286659519,45,0.75,0.743,1,1
annotator1,id_0037.jpeg,1,0.45,0.4576542179357571,2,0.4657712705373124,10,0.5,0.45,3,3
annotator1,id_0061.jpeg,2,0.7,0.6972339007820628,2,0.7049771345348418,60,0.75,0.7,2,2
annotator1,id_0079.jpeg,1,-0.01,-0.0022721770654748,2,-0.0063423798512488,45,-0.01,-0.01,1,1
annotator1,id_0026.jpeg,3,0.25,0.2121251442970975,2,0.2345622429372401,60,0.25,96.0,5,4
annotator1,id_0075.jpeg,2,-0.69,-0.6940320927911184,2,-0.6728962413501117,50,-0.7,-0.65,1,1
annotator1,id_0010.jpeg,2,0.81,0.813162258760264,2,0.8113902478758562,10,0.82,0.8,3,3
annotator1,id_0054.jpeg,2,-0.3,-0.2739741458836053,2,-0.2028024733118517,60,-0.02,-0.15,3,3
annotator1,id_0032.jpeg,2,0.05,0.0172899293056784,2,0.0506229088616116,50,105.0,0.08,3,3
annotator1,id_0021.jpeg,1,0.67,-0.6641947904594977,1,-0.6668072757428662,50,-0.69,-0.68,1,1
annotator1,id_0009.jpeg,2,0.67,0.7050055429858826,5,0.6573440286804,50,0.58,0.62,3,3
annotator1,id_0006.jpeg,3,0.2,0.2771799762323412,5,-0.2308511116802355,50,0.25,105.0,3,2
annotator1,id_0070.jpeg,2,-0.45,-0.4379364846664366,3,-0.3622085018573248,50,-0.43,-0.34,2,2
annotator1,id_0076.jpeg,1,0.21,0.226157098894619,2,0.2047389664176786,20,0.12,0.2,3,3
annotator1,id_0055.jpeg,2,-0.54,-0.5378080771698427,2,-0.5612999095943637,60,,-0.55,3,2
annotator1,id_0068.jpeg,2,0.0,-0.0355313557532337,1,-0.0219791015667036,50,,81.0,5,3
annotator1,id_0007.jpeg,2,0.22,0.2234000265220395,2,0.2411647474715203,20,,0.15,2,3
annotator1,id_0040.jpeg,2,0.05,0.0430723386289648,3,0.0461090323165982,50,0.05,0.04,3,3
annotator1,id_0043.jpeg,2,0.125,0.0944211138880978,2,0.1076896851722537,45,0.03,0.08,2,3
annotator1,id_0060.jpeg,2,-0.6,-0.5934854848525366,2,-0.5986821108346219,45,-0.625,-0.6,2,2
annotator1,id_0034.jpeg,2,0.038,0.0387591527415613,3,0.0388645455390772,50,0.04,0.0395,2,2
annotator1,id_0029.jpeg,2,-0.1,-0.1602916182944228,2,-0.1659207549630548,20,-0.23,-0.24,3,2
annotator1,id_0018.jpeg,2,-0.025,-0.0257460901732451,1,-0.0277847211650214,50,-0.01,-0.03,1,1
annotator1,id_0065.jpeg,3,-0.2,-0.2003140354599984,5,-0.2080684231464457,50,-0.2,-0.2,1,3
annotator1,id_0031.jpeg,1,-0.5,-0.4960482957598888,1,-0.4991105638428083,50,-0.56,-0.5,3,3
annotator1,id_0027.jpeg,2,0.19,0.1833570857039367,2,0.1960058539747179,20,0.2,0.15,2,2
annotator1,id_0056.jpeg,2,-0.33,-0.3309330099176764,2,-0.3341798321551385,50,-0.34,-0.33,1,3
annotator1,id_0011.jpeg,1,0.68,0.672702058963141,2,0.670999545496312,20,0.68,0.66,1,1
annotator1,id_0053.jpeg,1,-0.52,-0.525489044002805,3,-0.525414896295505,50,-0.58,-0.58,1,1
annotator1,id_0030.jpeg,2,-0.01,-0.0375257610296666,2,-0.016091899038866,10,0.0,0.01,5,3
annotator1,id_0062.jpeg,2,0.17,0.1303438374867169,2,0.138299083669354,20,0.1,0.16,2,2
annotator1,id_0004.jpeg,1,-0.67,-0.6688686101783958,1,-0.7095085056464476,50,125.0,-0.73,3,3
annotator1,id_0077.jpeg,1,-0.45,-0.4707345815446052,2,-0.4723913577551772,20,-0.44,-0.48,1,1
annotator1,id_0002.jpeg,2,0.125,0.1925136907827743,2,0.1631282028990468,10,-0.05,0.17,3,2
annotator1,id_0024.jpeg,2,-0.1,-0.1297591707780812,2,-0.2717083251709664,45,0.0,0.03,2,2
annotator1,id_0005.jpeg,1,-0.059,-0.0585047672515225,2,-0.0604164305987245,10,,-0.06,1,1
annotator1,id_0058.jpeg,2,0.16,0.1231194883851018,2,0.0976478927374045,60,0.0,0.12,2,2
annotator1,id_0044.jpeg,3,0.6,0.6039618897771337,2,0.5701574633626592,60,0.58,0.59,2,3
annotator1,id_0035.jpeg,1,0.58,0.569289853996167,1,0.5692977213084593,50,0.56,0.57,1,1
annotator1,id_0072.jpeg,2,-0.1,-0.0289606328708099,5,-0.0508427540474292,50,0.0,0.0,2,2
annotator1,id_0052.jpeg,3,0.13,0.1232984871428519,3,0.1269744356521677,50,0.16,0.11,2,3
annotator1,id_0025.jpeg,2,-0.6,-0.5971854568873689,3,-0.5914044733399562,50,-0.55,-0.58,2,3
annotator1,id_0059.jpeg,2,-0.3,-0.2805627297233334,2,-0.2821889955740224,60,-0.26,-0.245,2,2
annotator1,id_0073.jpeg,3,0.18,0.1421090297093665,5,0.0922246315485533,50,0.09,0.18,3,3
annotator1,id_0022.jpeg,1,0.558,0.5570751534781316,2,0.549635968449612,10,0.54,0.545,1,1
annotator1,id_0078.jpeg,2,-0.4,-0.4196726977731409,5,-0.4793884948389979,50,-0.25,-0.4,2,2
annotator1,id_0003.jpeg,2,0.155,0.1502586532868631,2,0.1452752832798564,10,0.15,0.15,1,1
annotator1,id_0001.jpeg,1,0.33,0.3480883492810298,2,0.3451878052305861,50,0.37,0.32,1,1
annotator1,id_0066.jpeg,2,0.805,0.811414978303169,2,0.8088608399778532,45,0.83,0.82,1,3
annotator1,id_0042.jpeg,1,0.64,0.6338112011472516,2,0.6404160766630164,45,0.64,0.62,1,2
annotator1,id_0064.jpeg,2,0.85,0.8408610925095412,2,0.8107388146713747,10,0.85,0.8,3,4
annotator1,id_0033.jpeg,2,0.1,0.0897588968068927,2,0.0253240070625791,10,0.0,0.08,3,2
annotator1,id_0050.jpeg,1,-0.65,-0.6522070555301435,2,-0.4577874618613869,45,-0.5,-0.5,2,3
annotator1,id_0071.jpeg,3,-0.76,-0.7738565968227569,3,-0.749227478284525,50,-0.69,-0.71,2,2
annotator1,id_0019.jpeg,2,-0.97,-0.9717248422463228,2,-0.9676647054761436,50,-0.97,-0.97,2,2
annotator1,id_0063.jpeg,2,0.6,0.6087025112779343,5,0.581528366914828,50,0.66,0.6,2,2
annotator1,id_0048.jpeg,3,0.0,0.0158102622622966,2,-0.2520762460676508,50,0.01,0.1,2,2
annotator1,id_0012.jpeg,2,-0.51,-0.5250534737979113,2,-0.5564822298995209,20,-0.55,-0.5,2,2
annotator1,id_0016.jpeg,1,-0.15,-0.1256711496180435,3,-0.0956919763078406,50,-0.1,-0.1,1,3
annotator1,id_0039.jpeg,2,0.266,0.2658691540826565,3,0.2655385491960254,50,0.267,0.2666,1,3
annotator1,id_0000.jpeg,4,-0.265,-0.2693422507043798,5,-0.2681845787530464,50,-0.29,-0.28,2,2
annotator1,id_0008.jpeg,1,0.06,0.0655015366387721,2,0.0661882029514153,10,0.07,0.06,4,1
annotator1,id_0015.jpeg,2,0.66,0.6692589050304683,3,0.6522868822639492,50,0.66,0.695,2,2
annotator1,id_0049.jpeg,3,-0.05,-0.0434194712182764,5,-0.0899311982802154,50,0.075,0.0,2,3
annotator1,id_0067.jpeg,2,0.5,0.5018270245203429,2,0.5137840896777104,60,0.5,0.5,3,2
annotator1,id_0045.jpeg,1,0.4,0.3664156386783657,2,0.3536921944193296,20,0.46,0.4,2,2
annotator1,id_0047.jpeg,1,-0.81,-0.8029189729994644,2,-0.7983628673264407,20,-0.77,-0.8,2,2
annotator1,id_0038.jpeg,3,0.71,0.6980220656195804,5,0.6786665007180244,50,,0.65,2,3
annotator1,id_0036.jpeg,1,-0.23,-0.1174920338803755,2,-0.246014030028416,50,,-0.4,3,3
annotator1,id_0069.jpeg,2,-0.44,-0.4360258318067455,2,-0.4344716209825574,50,-0.49,-0.405,2,2
annotator1,id_0051.jpeg,1,-0.22,-0.165379393665811,2,-0.1687516007365518,50,-0.2,-0.19,3,2
annotator1,id_0046.jpeg,1,-0.23,-0.2171830258737935,1,-0.2178881988030958,50,-0.21,-0.21,1,1
annotator2,id_0016.jpeg,2,-0.08,-0.0825226355917511,3,-0.0956919763078406,50,-0.1,-0.1,1,3
annotator2,id_0053.jpeg,1,-0.65,-0.650079857391774,3,-0.525414896295505,50,-0.58,-0.58,1,1
annotator2,id_0071.jpeg,2,-0.75,-0.7381295755952408,3,-0.749227478284525,50,-0.69,-0.71,2,2
annotator2,id_0073.jpeg,3,0.18,0.1727642591936417,5,0.0922246315485533,50,0.09,0.18,3,3
annotator2,id_0049.jpeg,3,0.1,0.0874254996809059,5,-0.0899311982802154,50,0.075,0.0,2,3
annotator2,id_0050.jpeg,1,-0.23,-0.183383130935421,2,-0.4577874618613869,45,-0.5,-0.5,2,3
annotator2,id_0025.jpeg,1,-0.28,-0.3049948683808476,3,-0.5914044733399562,50,-0.55,-0.58,2,3
annotator2,id_0075.jpeg,1,-0.66,-0.6679049853320731,2,-0.6728962413501117,50,-0.7,-0.65,1,1
annotator2,id_0038.jpeg,2,0.6,0.6040831575618149,5,0.6786665007180244,50,,0.65,2,3
annotator2,id_0066.jpeg,2,0.79,0.7972461217201299,2,0.8088608399778532,45,0.83,0.82,1,3
annotator2,id_0012.jpeg,2,-0.53,-0.543964184440403,2,-0.5564822298995209,20,-0.55,-0.5,2,2
annotator2,id_0022.jpeg,1,0.53,0.5322933513767985,2,0.549635968449612,10,0.54,0.545,1,1
annotator2,id_0036.jpeg,1,-0.45,-0.3907863766847003,2,-0.246014030028416,50,,-0.4,3,3
annotator2,id_0059.jpeg,2,-0.25,-0.2379839105805487,2,-0.2821889955740224,60,-0.26,-0.245,2,2
annotator2,id_0014.jpeg,2,0.46,0.4863026524639403,1,0.4788105173343701,50,0.49,0.485,1,1
annotator2,id_0051.jpeg,1,-0.37,-0.3491037236659222,2,-0.1687516007365518,50,-0.2,-0.19,3,2
annotator2,id_0034.jpeg,2,0.037,0.0386918245953414,3,0.0388645455390772,50,0.04,0.0395,2,2
annotator2,id_0079.jpeg,1,-0.025,-0.0203313024266201,2,-0.0063423798512488,45,-0.01,-0.01,1,1
annotator2,id_0078.jpeg,2,-0.25,-0.2806590117052316,5,-0.4793884948389979,50,-0.25,-0.4,2,2
annotator2,id_0009.jpeg,1,0.5,0.5030670998919888,5,0.6573440286804,50,0.58,0.62,3,3
annotator2,id_0011.jpeg,1,0.64,0.6416398675271157,2,0.670999545496312,20,0.68,0.66,1,1
annotator2,id_0037.jpeg,1,0.5,0.4786876811240113,2,0.4657712705373124,10,0.5,0.45,3,3
annotator2,id_0074.jpeg,2,-0.15,-0.128636045179579,2,-0.3761659351624006,45,-0.375,-0.375,2,2
annotator2,id_0060.jpeg,2,-0.5,-0.446494906934457,2,-0.5986821108346219,45,-0.625,-0.6,2,2
annotator2,id_0069.jpeg,1,-0.55,-0.5489945061220066,2,-0.4344716209825574,50,-0.49,-0.405,2,2
annotator2,id_0035.jpeg,1,0.54,0.5312696139197134,1,0.5692977213084593,50,0.56,0.57,1,1
annotator2,id_0064.jpeg,1,0.68,0.6725679011751795,2,0.8107388146713747,10,0.85,0.8,3,4
annotator2,id_0026.jpeg,2,0.245,0.2257193297019888,2,0.2345622429372401,60,0.25,96.0,5,4
annotator2,id_0017.jpeg,1,0.76,0.758058813799381,2,0.7408461286659519,45,0.75,0.743,1,1
annotator2,id_0067.jpeg,1,0.58,0.5765418738890495,2,0.5137840896777104,60,0.5,0.5,3,2
annotator2,id_0047.jpeg,1,0.7,-0.6941926429671216,2,-0.7983628673264407,20,-0.77,-0.8,2,2
annotator2,id_0021.jpeg,1,-0.67,-0.670094403832456,1,-0.6668072757428662,50,-0.69,-0.68,1,1
annotator2,id_0063.jpeg,2,0.5,0.5109918294784895,5,0.581528366914828,50,0.66,0.6,2,2
annotator2,id_0057.jpeg,2,-0.7,-0.7106257118453679,2,-0.758364185226362,50,-0.6,-0.6,2,2
annotator2,id_0054.jpeg,2,-0.1,-0.1434551883167643,2,-0.2028024733118517,60,-0.02,-0.15,3,3
annotator2,id_0000.jpeg,2,-0.27,-0.2758268951582414,5,-0.2681845787530464,50,-0.29,-0.28,2,2
annotator2,id_0061.jpeg,2,0.59,0.5907573577378747,2,0.7049771345348418,60,0.75,0.7,2,2
annotator2,id_0077.jpeg,1,-0.52,-0.5081017221290254,2,-0.4723913577551772,20,-0.44,-0.48,1,1
annotator2,id_0056.jpeg,1,-0.36,-0.3560132863030594,2,-0.3341798321551385,50,-0.34,-0.33,1,3
annotator2,id_0058.jpeg,2,0.22,0.2299648066215591,2,0.0976478927374045,60,0.0,0.12,2,2
annotator2,id_0031.jpeg,1,-0.41,-0.410507778419767,1,-0.4991105638428083,50,-0.56,-0.5,3,3
annotator2,id_0076.jpeg,1,-0.16,-0.1467917815910875,2,0.2047389664176786,20,0.12,0.2,3,3
annotator2,id_0032.jpeg,1,0.11,0.1071009677308081,2,0.0506229088616116,50,105.0,0.08,3,3
annotator2,id_0068.jpeg,3,0.0,-0.0048288268873855,1,-0.0219791015667036,50,,81.0,5,3
annotator2,id_0001.jpeg,1,2.0,0.1854796702647209,2,0.3451878052305861,50,0.37,0.32,1,1
annotator2,id_0042.jpeg,1,0.72,0.7137789948340122,2,0.6404160766630164,45,0.64,0.62,1,2
annotator2,id_0041.jpeg,1,0.45,0.0482470026738989,1,0.0544278544352981,50,0.055,0.05,1,1
annotator2,id_0005.jpeg,1,-0.58,-0.0568349364413316,2,-0.0604164305987245,10,,-0.06,1,1
annotator2,id_0018.jpeg,1,-0.025,-0.0270295089713923,1,-0.0277847211650214,50,-0.01,-0.03,1,1
annotator2,id_0033.jpeg,1,0.25,0.2806909134046391,2,0.0253240070625791,10,0.0,0.08,3,2
annotator2,id_0020.jpeg,1,0.25,-0.1678545688315899,1,-0.1780068550332232,50,0.0,-0.06,1,1
annotator2,id_0072.jpeg,2,0.05,0.0446935490040748,5,-0.0508427540474292,50,0.0,0.0,2,2
annotator2,id_0052.jpeg,2,0.15,0.1518132124963904,3,0.1269744356521677,50,0.16,0.11,2,3
annotator2,id_0040.jpeg,2,0.1,0.1042816151029105,3,0.0461090323165982,50,0.05,0.04,3,3
annotator2,id_0044.jpeg,1,0.63,0.6305239676261597,2,0.5701574633626592,60,0.58,0.59,2,3
annotator2,id_0007.jpeg,1,0.34,0.3332987122848859,2,0.2411647474715203,20,,0.15,2,3
annotator2,id_0028.jpeg,1,-0.39,-0.3921566844676969,2,-0.4173022022375116,45,-0.43,-0.42,1,1
annotator2,id_0002.jpeg,2,-0.1,-0.0787676079354288,2,0.1631282028990468,10,-0.05,0.17,3,2
annotator2,id_0055.jpeg,2,-0.57,-0.57861894843672,2,-0.5612999095943637,60,,-0.55,3,2
annotator2,id_0048.jpeg,2,0.0,0.0060051804742163,2,-0.2520762460676508,50,0.01,0.1,2,2
annotator2,id_0003.jpeg,1,0.125,0.1340654585936352,2,0.1452752832798564,10,0.15,0.15,1,1
annotator2,id_0065.jpeg,1,-0.235,-0.231932858070589,5,-0.2080684231464457,50,-0.2,-0.2,1,3
annotator2,id_0004.jpeg,1,-0.73,-0.7215874351400541,1,-0.7095085056464476,50,125.0,-0.73,3,3
annotator2,id_0027.jpeg,2,0.14,0.1320580006888373,2,0.1960058539747179,20,0.2,0.15,2,2
annotator2,id_0008.jpeg,1,0.075,0.0694418896738277,2,0.0661882029514153,10,0.07,0.06,4,1
annotator2,id_0006.jpeg,1,-0.3,-0.304381117776911,5,-0.2308511116802355,50,0.25,105.0,3,2
annotator2,id_0045.jpeg,1,0.0,0.0012051606742459,2,0.3536921944193296,20,0.46,0.4,2,2
annotator2,id_0029.jpeg,1,-0.25,-0.2484698422679746,2,-0.1659207549630548,20,-0.23,-0.24,3,2
annotator2,id_0023.jpeg,1,0.84,0.8474025442844196,2,0.8020903968710063,60,0.8,0.8,2,2
annotator2,id_0015.jpeg,2,0.7,0.6996748596156406,3,0.6522868822639492,50,0.66,0.695,2,2
annotator2,id_0062.jpeg,1,-0.2,-0.0451656286828985,2,0.138299083669354,20,0.1,0.16,2,2
annotator2,id_0046.jpeg,1,-0.225,-0.2154801082408934,1,-0.2178881988030958,50,-0.21,-0.21,1,1
annotator2,id_0030.jpeg,1,0.25,0.2474342906610985,2,-0.016091899038866,10,0.0,0.01,5,3
annotator2,id_0043.jpeg,1,0.2,0.1501636878649772,2,0.1076896851722537,45,0.03,0.08,2,3
annotator2,id_0010.jpeg,1,0.7,0.7010676174982234,2,0.8113902478758562,10,0.82,0.8,3,3
annotator2,id_0013.jpeg,1,-0.3,-0.2851627506246443,2,-0.0979157386788274,60,-0.05,-0.12,1,2
annotator2,id_0070.jpeg,2,-0.3,-0.277241715145027,3,-0.3622085018573248,50,-0.43,-0.34,2,2
annotator2,id_0024.jpeg,2,-0.35,-0.3437663478362999,2,-0.2717083251709664,45,0.0,0.03,2,2
annotator2,id_0039.jpeg,2,0.268,0.2682074898941345,3,0.2655385491960254,50,0.267,0.2666,1,3
annotator2,id_0019.jpeg,1,-0.25,-0.9227163293280818,2,-0.9676647054761436,50,-0.97,-0.97,2,2
